group;first;second;third;forth;n;p
A;KSA;EGY;URU;RUS;1;0.000010
A;URU;EGY;KSA;RUS;59;0.000590
A;URU;KSA;EGY;RUS;41;0.000410
A;EGY;KSA;RUS;URU;3;0.000030
A;URU;EGY;RUS;KSA;14950;0.149500
A;KSA;EGY;RUS;URU;3;0.000030
A;URU;RUS;EGY;KSA;34232;0.342320
A;KSA;URU;EGY;RUS;1;0.000010
A;KSA;RUS;EGY;URU;1;0.000010
A;URU;KSA;RUS;EGY;3425;0.034250
A;URU;RUS;KSA;EGY;47003;0.470030
A;RUS;EGY;KSA;URU;44;0.000440
A;RUS;KSA;URU;EGY;122;0.001220
A;EGY;KSA;URU;RUS;2;0.000020
A;RUS;KSA;EGY;URU;60;0.000600
A;KSA;RUS;URU;EGY;3;0.000030
A;RUS;URU;KSA;EGY;33;0.000330
A;EGY;RUS;KSA;URU;14;0.000140
A;EGY;URU;KSA;RUS;3;0.000030
B;IRN;ESP;MAR;POR;6;0.000060
B;IRN;MAR;ESP;POR;1;0.000010
B;ESP;MAR;IRN;POR;1031;0.010310
B;ESP;POR;MAR;IRN;54149;0.541490
B;ESP;MAR;POR;IRN;613;0.006130
B;ESP;IRN;POR;MAR;1992;0.019920
B;ESP;POR;IRN;MAR;37964;0.379640
B;ESP;IRN;MAR;POR;4244;0.042440
C;FRA;PER;DEN;AUS;41;0.000410
C;FRA;DEN;AUS;PER;14810;0.148100
C;FRA;AUS;PER;DEN;1139;0.011390
C;FRA;PER;AUS;DEN;570;0.005700
C;FRA;DEN;PER;AUS;83250;0.832500
C;FRA;AUS;DEN;PER;190;0.001900
D;ARG;ISL;NGA;CRO;1;0.000010
D;NGA;ARG;ISL;CRO;4;0.000040
D;ARG;NGA;CRO;ISL;19375;0.193750
D;NGA;ARG;CRO;ISL;3;0.000030
D;NGA;ISL;ARG;CRO;1;0.000010
D;ARG;NGA;ISL;CRO;22;0.000220
D;ARG;CRO;ISL;NGA;63993;0.639930
D;ARG;CRO;NGA;ISL;16601;0.166010
E;BRA;SUI;CRC;SRB;42182;0.421820
E;CRC;BRA;SRB;SUI;1;0.000010
E;BRA;SUI;SRB;CRC;49052;0.490520
E;BRA;SRB;CRC;SUI;129;0.001290
E;SRB;BRA;CRC;SUI;3;0.000030
E;BRA;CRC;SRB;SUI;3829;0.038290
E;BRA;CRC;SUI;SRB;4477;0.044770
E;BRA;SRB;SUI;CRC;326;0.003260
E;SRB;CRC;BRA;SUI;1;0.000010
F;GER;SWE;MEX;KOR;14814;0.148140
F;GER;SWE;KOR;MEX;7920;0.079200
F;KOR;GER;MEX;SWE;1;0.000010
F;GER;MEX;KOR;SWE;32875;0.328750
F;GER;KOR;MEX;SWE;21990;0.219900
F;GER;KOR;SWE;MEX;2466;0.024660
F;SWE;KOR;GER;MEX;1;0.000010
F;GER;MEX;SWE;KOR;19933;0.199330
G;BEL;TUN;PAN;ENG;95;0.000950
G;BEL;PAN;TUN;ENG;6;0.000060
G;BEL;PAN;ENG;TUN;89;0.000890
G;BEL;TUN;ENG;PAN;1022;0.010220
G;BEL;ENG;PAN;TUN;299;0.002990
G;BEL;ENG;TUN;PAN;98489;0.984890
H;COL;SEN;JPN;POL;8;0.000080
H;POL;JPN;SEN;COL;6;0.000060
H;POL;COL;JPN;SEN;61;0.000610
H;POL;COL;SEN;JPN;134;0.001340
H;POL;SEN;COL;JPN;16;0.000160
H;JPN;POL;COL;SEN;4;0.000040
H;COL;POL;SEN;JPN;67406;0.674060
H;SEN;POL;COL;JPN;49;0.000490
H;POL;SEN;JPN;COL;2;0.000020
H;SEN;COL;POL;JPN;336;0.003360
H;COL;POL;JPN;SEN;25588;0.255880
H;COL;SEN;POL;JPN;6361;0.063610
H;POL;JPN;COL;SEN;29;0.000290
